time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
0,43,4,39,9.75,0.9814749999999999,7.378559000000001,,,
2,44,8,101,12.625,0.952025,9.793334,,,
3,43,12,137,11.416666666666666,0.9349249999999998,8.847170749999998,,,
4,43,16,179,11.1875,0.9149749999999999,8.618157,,,
5,43,20,235,11.75,0.8883749999999997,9.049798200000001,0.014273382723331451,0.0005,34
6,43,24,267,11.125,0.8731750000000003,8.55284625,0.04188919439911842,0.0005,66
7,41,28,299,10.678571428571429,0.8579749999999998,8.156496214285713,0.08313694596290588,0.0005,98
7,41,32,331,10.34375,0.8427750000000005,7.850241562500001,0.015765665099024773,0.0005,130
9,41,36,388,10.777777777777779,0.8157000000000003,8.263385833333333,0.11786215007305145,0.0005,187
10,41,40,428,10.7,0.7967000000000002,8.250570375,0.19489558041095734,0.0005,227
11,41,44,477,10.840909090909092,0.7734249999999997,8.385132727272726,0.48043113946914673,0.0005,276
12,40,48,501,10.4375,0.7620249999999998,8.0383764375,0.41963714361190796,0.0005,300
13,40,52,560,10.76923076923077,0.7339999999999998,8.281414115384617,0.2642447054386139,0.0005,359
15,40,56,618,11.035714285714286,0.7064499999999997,8.553934053571428,0.10776115953922272,0.0005,417
16,39,60,658,10.966666666666667,0.6874499999999997,8.549057683333334,0.5331262946128845,0.0005,457
17,40,64,710,11.09375,0.6627500000000002,8.659147812499999,0.4746280908584595,0.0005,509
18,39,68,742,10.911764705882353,0.6475499999999998,8.50115545588235,0.3348345160484314,0.0005,541
19,39,72,768,10.666666666666666,0.6352000000000001,8.297180888888889,0.2536478638648987,0.0005,567
19,39,76,791,10.407894736842104,0.6242750000000004,8.089492710526315,0.29974186420440674,0.0005,590
20,39,80,815,10.1875,0.6128750000000005,7.918404037499999,0.4990459978580475,0.0005,614
21,39,84,852,10.142857142857142,0.5953000000000004,7.88854019047619,0.5893201231956482,0.0005,651
22,39,88,877,9.965909090909092,0.5834250000000005,7.729187727272728,0.12242992222309113,0.0005,676
23,39,92,930,10.108695652173912,0.5582500000000001,7.87436747826087,0.33907151222229004,0.0005,729
24,39,96,991,10.322916666666666,0.5292750000000002,8.044253270833334,0.33111220598220825,0.0005,790
25,40,100,1038,10.38,0.5069499999999996,8.08655297,0.1374368965625763,0.0005,837
27,39,104,1082,10.43,0.48604999999999976,8.1377755,0.41817840933799744,0.0005,881
27,40,108,1121,10.2,0.46752499999999964,7.959399609999999,0.19528687000274658,0.0005,920
29,40,112,1185,10.48,0.4371249999999999,8.171424300000002,0.13082456588745117,0.0005,984
30,40,116,1228,10.49,0.41669999999999996,8.18390544,0.2432117760181427,0.0005,1027
31,40,120,1258,10.23,0.40245000000000053,7.988845889999999,0.1164252758026123,0.0005,1057
32,40,124,1285,10.18,0.3896249999999998,7.95104863,0.3869650065898895,0.0005,1084
33,40,128,1339,10.4,0.3639750000000005,8.162410490000001,0.19887863099575043,0.0005,1138
34,40,132,1372,10.41,0.34830000000000017,8.19261748,0.3090902268886566,0.0005,1171
