rollout/exploration_rate,time/time_elapsed,time/fps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/loss,train/n_updates
0.9572500000000005,21,4,4,16.68214275,22.5,90,,,
0.9221000000000001,38,4,8,15.52970525,20.5,164,,,
0.8931250000000002,52,4,12,14.315469833333333,18.75,225,0.0005,0.024386469274759293,24
0.8556000000000001,71,4,16,14.534227,19.0,304,0.0005,0.12120658159255981,103
0.8432500000000004,77,4,20,12.5637841,16.5,330,0.0005,0.1335654854774475,129
0.8138000000000005,92,4,24,12.58932375,16.333333333333332,392,0.0005,0.17766091227531433,191
0.7933749999999995,102,4,28,11.925018392857144,15.535714285714286,435,0.0005,0.15563729405403137,234
0.7701,114,4,32,11.500708374999999,15.125,484,0.0005,0.2387954741716385,283
0.7568000000000005,121,4,36,10.822435333333331,14.222222222222221,512,0.0005,0.09596917033195496,311
0.7335249999999998,133,4,40,10.68516075,14.025,561,0.0005,0.09837842732667923,360
0.6907750000000004,154,4,44,11.370490204545455,14.795454545454545,651,0.0005,0.3958830237388611,450
0.6665499999999998,166,4,48,11.253481479166666,14.625,702,0.0005,0.024066347628831863,501
0.6404249999999996,179,4,52,11.261897192307693,14.557692307692308,757,0.0005,0.332904189825058,556
0.6275999999999999,186,4,56,10.79372425,14.0,784,0.0005,0.10442938655614853,583
0.6033750000000004,198,4,60,10.804398800000001,13.916666666666666,835,0.0005,0.11039750277996063,634
0.5867500000000002,206,4,64,10.557256140625,13.59375,870,0.0005,0.014632916077971458,669
0.5705999999999999,214,4,68,10.357881852941176,13.294117647058824,904,0.0005,0.1278243362903595,703
0.5596749999999999,220,4,72,10.012184444444443,12.875,927,0.0005,0.1260005235671997,726
0.531175,235,4,76,10.084395921052632,12.986842105263158,987,0.0005,0.25009480118751526,786
0.5193000000000003,241,4,80,9.82280355,12.65,1012,0.0005,0.3448610305786133,811
0.5055249999999997,248,4,84,9.627143833333333,12.392857142857142,1041,0.0005,0.3291904032230377,840
0.48557499999999976,258,4,88,9.560198284090909,12.306818181818182,1083,0.0005,0.677796483039856,882
0.4575499999999997,272,4,92,9.676062108695652,12.41304347826087,1142,0.0005,0.24084357917308807,941
0.43664999999999987,283,4,96,9.661837552083332,12.354166666666666,1186,0.0005,0.23450857400894165,985
0.4114750000000006,295,4,100,9.734359159999999,12.39,1239,0.0005,0.7479985356330872,1038
0.3829750000000005,310,4,104,9.59453373,12.09,1299,0.0005,0.37299296259880066,1098
0.37252500000000066,315,4,108,9.1875113,11.57,1321,0.0005,0.46413251757621765,1120
0.35067499999999985,326,4,112,9.111711309999999,11.42,1367,0.0005,0.14748702943325043,1166
0.32787500000000025,338,4,116,8.9095205,11.11,1415,0.0005,0.23915183544158936,1214
0.30887500000000023,348,4,120,9.076492889999999,11.25,1455,0.0005,0.013023910112679005,1254
