time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
1,25,4,37,9.25,0.9824249999999999,1.2749172500000001,,,
2,25,8,70,8.75,0.9667500000000006,1.8054548749999997,,,
4,24,12,110,9.166666666666666,0.9477500000000005,0.8398818333333331,,,
5,25,16,145,9.0625,0.9311250000000002,0.9717264375,,,
7,24,20,178,8.9,0.9154499999999999,0.7957789,,,
8,23,24,196,8.166666666666666,0.9068999999999997,0.21261033333333335,,,
10,23,28,233,8.321428571428571,0.8893249999999996,0.18094303571428577,0.9670842885971069,0.0005,32
11,22,32,260,8.125,0.8765,0.050917093749999975,0.489820659160614,0.0005,59
13,22,36,305,8.472222222222221,0.8551250000000001,0.5030614999999999,0.40226027369499207,0.0005,104
15,22,40,352,8.8,0.8328000000000005,0.7609430249999999,0.48626261949539185,0.0005,151
17,22,44,392,8.909090909090908,0.8138000000000005,0.7347280909090909,0.17079146206378937,0.0005,191
19,22,48,433,9.020833333333334,0.7943250000000005,0.9910912500000001,0.05985194817185402,0.0005,232
21,22,52,470,9.038461538461538,0.7767500000000004,1.0863918076923078,0.23588088154792786,0.0005,269
22,22,56,505,9.017857142857142,0.760125,1.1826363392857144,0.37282317876815796,0.0005,304
24,22,60,541,9.016666666666667,0.7430249999999998,1.2325892,0.08667870610952377,0.0005,340
25,22,64,576,9.0,0.7263999999999996,1.30158053125,0.6983006596565247,0.0005,375
27,22,68,612,9.0,0.7093000000000005,1.2227496029411762,0.13293114304542542,0.0005,411
28,22,72,655,9.097222222222221,0.6888749999999995,1.2834323611111111,0.16840237379074097,0.0005,454
30,22,76,697,9.171052631578947,0.6689249999999995,1.4005734605263158,0.18099600076675415,0.0005,496
31,23,80,731,9.1375,0.6527750000000003,1.3170083375000001,0.26490429043769836,0.0005,530
33,23,84,769,9.154761904761905,0.6347250000000002,1.3106658690476192,0.15006457269191742,0.0005,568
35,23,88,808,9.181818181818182,0.6162000000000001,1.516989090909091,0.20108231902122498,0.0005,607
36,23,92,832,9.043478260869565,0.6048000000000002,1.4103206304347828,0.10024572908878326,0.0005,631
37,22,96,865,9.010416666666666,0.5891249999999999,1.4895994791666667,0.39210614562034607,0.0005,664
38,23,100,892,8.92,0.5763000000000003,1.45815777,0.20748364925384521,0.0005,691
40,22,104,928,8.91,0.5592000000000001,1.4886712300000002,0.16715483367443085,0.0005,727
42,22,108,959,8.89,0.5444749999999996,1.41143568,0.3061669170856476,0.0005,758
44,22,112,997,8.87,0.5264250000000006,1.66305342,0.2909952998161316,0.0005,796
45,22,116,1032,8.87,0.5098000000000003,1.86067971,0.4166412651538849,0.0005,831
46,22,120,1065,8.87,0.4941249999999999,2.01516591,0.16264285147190094,0.0005,864
47,22,124,1093,8.97,0.4808250000000003,2.2666402,0.47033995389938354,0.0005,892
49,22,128,1132,8.99,0.46230000000000016,2.47354435,0.3016715943813324,0.0005,931
51,22,132,1171,9.11,0.44377500000000014,2.71431597,0.16879072785377502,0.0005,970
52,22,136,1197,8.92,0.4314250000000005,2.47037457,0.4344404935836792,0.0005,996
53,22,140,1234,8.82,0.4138500000000003,2.47841575,0.3003602921962738,0.0005,1033
54,23,144,1264,8.72,0.39959999999999973,2.5476623899999997,1.1168279647827148,0.0005,1063
56,23,148,1300,8.67,0.3825000000000006,2.45797472,0.4216284155845642,0.0005,1099
57,23,152,1331,8.61,0.3677750000000001,2.5492478700000003,0.32803085446357727,0.0005,1130
59,23,156,1363,8.58,0.35257499999999964,2.58966797,0.1835113912820816,0.0005,1162
60,22,160,1396,8.55,0.3369000000000004,2.42663409,0.2842288613319397,0.0005,1195
62,23,164,1429,8.53,0.321225,2.3211863399999997,0.1997445821762085,0.0005,1228
63,22,168,1465,8.53,0.30412499999999965,2.4778038399999995,0.48766791820526123,0.0005,1264
65,23,172,1502,8.47,0.2865500000000005,2.61929976,0.21541762351989746,0.0005,1301
66,23,176,1537,8.4,0.2699250000000003,2.66377734,0.229361429810524,0.0005,1336
68,22,180,1567,8.36,0.25567499999999976,2.8263406,0.18576481938362122,0.0005,1366
69,22,184,1593,8.24,0.243325,2.814489879999999,0.2884313762187958,0.0005,1392
70,22,188,1619,8.11,0.23097500000000037,2.6335832999999997,0.0915045291185379,0.0005,1418
71,22,192,1644,8.12,0.21909999999999952,2.7150769599999993,0.24443620443344116,0.0005,1443
73,22,196,1674,8.09,0.2048500000000002,2.7525564399999998,0.5373172760009766,0.0005,1473
74,22,200,1709,8.17,0.18822499999999975,2.96532235,0.3882927894592285,0.0005,1508
75,22,204,1729,8.01,0.1787249999999998,2.82640645,0.35335344076156616,0.0005,1528
77,22,208,1764,8.05,0.16209999999999958,3.0621633699999995,0.3068825304508209,0.0005,1563
78,22,212,1783,7.86,0.15307500000000052,2.8741962,0.17505300045013428,0.0005,1582
80,22,216,1822,7.9,0.1345500000000005,2.93904563,0.7539681792259216,0.0005,1621
81,22,220,1850,7.85,0.12124999999999986,2.87087988,0.09975682199001312,0.0005,1649
83,22,224,1888,7.95,0.10319999999999963,2.9237200899999998,0.11551057547330856,0.0005,1687
85,22,228,1920,7.88,0.0880000000000003,2.8757992199999993,0.6014685034751892,0.0005,1719
86,22,232,1951,7.8,0.07327499999999987,2.8150326000000003,0.13289561867713928,0.0005,1750
87,22,236,1981,7.84,0.05902500000000033,3.0841653300000003,0.5584418773651123,0.0005,1780
88,22,240,2009,7.75,0.05,2.9502248999999994,0.3529778718948364,0.0005,1808
90,22,244,2043,7.79,0.05,3.12824946,0.2953506112098694,0.0005,1842
91,22,248,2077,7.77,0.05,3.0934823999999996,0.18556742370128632,0.0005,1876
92,22,252,2099,7.68,0.05,2.90160168,0.5725105404853821,0.0005,1898
93,22,256,2129,7.66,0.05,2.93382897,0.3707614839076996,0.0005,1928
95,22,260,2157,7.61,0.05,3.18117728,0.12239206582307816,0.0005,1956
96,22,264,2195,7.66,0.05,3.33550379,0.30014005303382874,0.0005,1994
97,22,268,2226,7.61,0.05,3.4374325800000003,0.291070818901062,0.0005,2025
98,22,272,2257,7.55,0.05,3.4533350900000004,0.32465019822120667,0.0005,2056
100,22,276,2285,7.48,0.05,3.4346781799999997,0.23096536099910736,0.0005,2084
101,22,280,2320,7.53,0.05,3.55911831,0.13663695752620697,0.0005,2119
103,22,284,2361,7.68,0.05,3.8304284500000008,0.28776076436042786,0.0005,2160
