time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
0,68,4,43,10.75,0.979575,9.02083325,,,
1,67,8,85,10.625,0.959625,9.024305375,,,
1,67,12,113,9.416666667,0.946325,8.057870333,,,
2,66,16,143,8.9375,0.932075,7.657986062,,,
2,66,20,170,8.5,0.91925,7.3069444,,,
3,66,24,210,8.75,0.90025,7.528935167,0.194310173,0.0005,9
3,65,28,241,8.607142857,0.885525,7.409722214,0.010614063,0.0005,40
4,64,32,273,8.53125,0.870325,7.346354156,0.150757521,0.0005,72
4,63,36,307,8.527777778,0.854175,7.353395056,0.181468934,0.0005,106
5,63,40,329,8.225,0.843725,7.101388875,0.175981507,0.0005,128
5,63,44,356,8.090909091,0.8309,6.989898977,0.068716347,0.0005,155
6,63,48,385,8.020833333,0.817125,6.927662021,0.160558701,0.0005,184
6,62,52,415,7.980769231,0.802875,6.894230769,0.112924486,0.0005,214
7,61,56,456,8.142857143,0.7834,7.039186518,0.231414467,0.0005,255
8,61,60,494,8.233333333,0.76535,7.114814833,0.154549301,0.0005,293
8,61,64,549,8.578125,0.739225,7.427951406,0.162187785,0.0005,348
9,61,68,588,8.647058824,0.7207,7.493055574,0.246502474,0.0005,387
10,60,72,613,8.513888889,0.708825,7.379243847,0.052425254,0.0005,412
11,60,76,666,8.763157895,0.68365,7.603801184,0.028680077,0.0005,465
11,60,80,715,8.9375,0.660375,7.740972238,0.14221479,0.0005,514
12,60,84,761,9.05952381,0.638525,7.837632298,0.123604596,0.0005,560
13,59,88,818,9.295454545,0.61145,8.03661617,0.133927047,0.0005,617
14,59,92,872,9.47826087,0.5858,8.19263287,0.028792182,0.0005,671
15,59,96,926,9.645833333,0.56015,8.345775479,0.121432319,0.0005,725
16,59,100,989,9.89,0.530225,8.55055557,0.057641178,0.0005,788
17,59,104,1050,10.07,0.50125,8.70750002,0.078665286,0.0005,849
18,59,108,1101,10.16,0.477025,8.78527782,0.157050163,0.0005,900
19,59,112,1162,10.49,0.44805,9.06333337,0.074068561,0.0005,961
20,59,116,1218,10.75,0.42145,9.29472226,0.11159344,0.0005,1017
21,59,120,1283,11.13,0.390575,9.62194448,0.099262401,0.0005,1082
22,59,124,1345,11.35,0.361125,9.80611114,0.111078307,0.0005,1144
23,59,128,1408,11.67,0.3312,10.07444448,0.078021936,0.0005,1207
24,59,132,1473,12,0.300325,10.35361115,0.164812952,0.0005,1272
25,59,136,1539,12.32,0.268975,10.61972226,0.102130592,0.0005,1338
26,59,140,1597,12.68,0.241425,10.92527782,0.159137055,0.0005,1396
