time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,rollout/exploration_rate,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate
29,6.3680555,4,0,66,0.9862250000000005,7.25,,,
64,6.979166625,8,0,66,0.9696000000000002,8.0,,,
91,6.620370333333334,12,1,66,0.9567749999999995,7.583333333333333,,,
121,6.588541687499999,16,1,66,0.9425250000000001,7.5625,,,
156,6.79305555,20,2,66,0.9258999999999997,7.8,,,
197,7.17129625,24,2,65,0.9064249999999998,8.208333333333334,,,
232,7.219245999999999,28,3,63,0.8897999999999995,8.285714285714286,31,0.036449819803237915,0.0005
274,7.45746525,32,4,61,0.8698499999999996,8.5625,73,0.057250507175922394,0.0005
310,7.503086388888889,36,5,60,0.8527500000000003,8.61111111111111,109,0.09387272596359253,0.0005
350,7.6222222,40,5,60,0.8337500000000004,8.75,149,0.08464778959751129,0.0005
395,7.807449477272727,44,6,59,0.8123749999999996,8.977272727272727,194,0.15136244893074036,0.0005
429,7.78125,48,7,59,0.7962250000000003,8.9375,228,0.25771036744117737,0.0005
481,8.057692307692308,52,8,58,0.7715249999999999,9.25,280,0.09551912546157837,0.0005
515,8.001488107142858,56,8,58,0.7553749999999996,9.196428571428571,314,0.16447553038597107,0.0005
559,8.09074075,60,9,58,0.7344749999999998,9.316666666666666,358,0.2536301910877228,0.0005
609,8.2625868125,64,10,58,0.7107250000000003,9.515625,408,0.16313804686069489,0.0005
655,8.353758176470588,68,11,58,0.6888749999999995,9.632352941176471,454,0.1825665533542633,0.0005
715,8.616126541666667,72,12,58,0.6603750000000005,9.930555555555555,514,0.1530294567346573,0.0005
773,8.815423960526314,76,13,58,0.6328250000000004,10.171052631578947,572,0.1977345496416092,0.0005
838,9.0649305375,80,14,59,0.6019499999999995,10.475,637,0.21197086572647095,0.0005
902,9.279761892857143,84,15,58,0.5715499999999998,10.738095238095237,701,0.0672069638967514,0.0005
965,9.457070693181818,88,16,58,0.5416249999999999,10.965909090909092,764,0.03073134832084179,0.0005
1021,9.560386456521739,92,17,58,0.5150249999999996,11.097826086956522,820,0.03433893620967865,0.0005
1075,9.654224520833333,96,18,58,0.48937500000000045,11.197916666666666,874,0.1362989842891693,0.0005
1130,9.73444443,100,19,58,0.46325000000000005,11.3,929,0.08409129828214645,0.0005
1194,10.029444429999998,104,20,58,0.4328500000000003,11.65,993,0.02398592047393322,0.0005
1252,10.21999998,108,21,58,0.4053000000000001,11.88,1051,0.05996878817677498,0.0005
1316,10.531944430000001,112,22,58,0.37490000000000034,12.25,1115,0.10993941128253937,0.0005
1380,10.81166664,116,23,58,0.3445000000000005,12.59,1179,0.1969042867422104,0.0005
1444,11.057222200000002,120,24,58,0.3140999999999996,12.88,1243,0.05978652462363243,0.0005
1510,11.261111100000003,124,25,58,0.28274999999999995,13.13,1309,0.018867459148168564,0.0005
1575,11.52249998,128,26,58,0.2518750000000002,13.43,1374,0.09431973844766617,0.0005
1640,11.70944442,132,28,58,0.22100000000000053,13.66,1439,0.13465996086597443,0.0005
1704,11.944722200000001,136,29,58,0.19060000000000066,13.94,1503,0.01962234452366829,0.0005
1768,12.14888886,140,30,58,0.1601999999999998,14.18,1567,0.025465713813900948,0.0005
1834,12.3308333,144,31,58,0.12885000000000002,14.39,1633,0.012256741523742676,0.0005
1899,12.590833280000002,148,32,58,0.09797500000000026,14.7,1698,0.0261277686804533,0.0005
1965,12.709999940000003,152,33,58,0.0666250000000006,14.84,1764,0.07257092744112015,0.0005
2028,12.963888809999998,156,34,57,0.05,15.13,1827,0.07133358716964722,0.0005
2093,13.147777699999999,160,36,57,0.05,15.34,1892,0.05040699988603592,0.0005
2160,13.293055479999998,164,37,57,0.05,15.51,1959,0.06774318218231201,0.0005
2225,13.45777771,168,38,57,0.05,15.7,2024,0.051037419587373734,0.0005
2280,13.407222159999998,172,39,57,0.05,15.65,2079,0.2235342413187027,0.0005
