rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/fps,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/std,train/approx_kl,train/clip_range,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction
7.49,166,0.21674928000000002,1,2048,12,,,,,,,,,,,
6.0,329,-0.05607569999999999,2,4096,12,0.0005,0.7861848402651959,-0.20233356952667236,10,0.9940958619117737,0.021770922,0.2,0.2193571776151657,-0.012727196343075776,-2.8353931188583372,0.21328125
5.39,494,0.13813889999999998,3,6144,12,0.0005,0.7558372274506837,-0.06122636795043945,20,0.9887096881866455,0.025686916,0.2,0.23350046575069427,-0.017846920796000632,-2.8199812173843384,0.257177734375
5.83,654,0.42724713999999997,4,8192,12,0.0005,0.7612017945386469,-0.07566964626312256,30,0.9840633869171143,0.03357184,0.2,0.09854026138782501,-0.01913404763181461,-2.8151123709976673,0.305517578125
5.73,819,0.46118050000000005,5,10240,12,0.0005,0.7043602510122582,-0.04760265350341797,40,0.9631079435348511,0.03924398,0.2,0.3225419819355011,-0.02092201579071116,-2.784964796155691,0.326220703125
4.67,986,0.41756799,6,12288,12,0.0005,0.6086642015376128,-0.04033839702606201,50,0.930171549320221,0.05026716,0.2,0.06742455065250397,-0.022905494850783727,-2.725028335675597,0.359130859375
4.72,1155,0.27729403,7,14336,12,0.0005,0.8439931232482195,0.0021210312843322754,60,0.9198129773139954,0.043454934,0.2,0.15726926922798157,-0.02180572101569851,-2.6809936542063952,0.348291015625
4.24,1319,0.3914653100000001,8,16384,12,0.0005,0.7258497815812006,-0.09095752239227295,70,0.9046949148178101,0.04495947,0.2,0.3550194501876831,-0.02471666025958257,-2.644209735840559,0.356640625
4.53,1481,0.31219417,9,18432,12,0.0005,0.6220670816139318,-0.06250596046447754,80,0.8894839286804199,0.041062556,0.2,0.31924253702163696,-0.017668904229140026,-2.6127192359417677,0.375439453125
4.23,1637,0.3410144399999999,10,20480,12,0.0005,0.8398157259682193,-0.0805826187133789,90,0.8747289180755615,0.05338151,0.2,0.6734289526939392,-0.026621145085664467,-2.582206528633833,0.407275390625
