time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/explained_variance,train/loss,train/entropy_loss,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/n_updates,train/clip_range
67,7.4091666400000005,2048,30,1,8.56,,,,,,,,,,
65,8.29805554,4096,62,2,9.62,0.07531464099884033,0.19414196908473969,-1.595783068239689,0.25126953125,0.39675203668884934,-0.022814633726375176,0.015256331,0.0005,10,0.2
65,9.78944444,6144,94,3,11.36,0.6395919620990753,0.10620720684528351,-1.55063850376755,0.406298828125,0.46151823541149495,-0.049010842564166525,0.019164152,0.0005,20,0.2
64,11.164166699999999,8192,126,4,12.96,0.6120780408382416,0.2755569815635681,-1.4991985563188792,0.309423828125,0.43683634328190235,-0.03188294356586994,0.016018678,0.0005,30,0.2
64,12.613611119999998,10240,158,5,14.75,0.6651954352855682,0.1362886130809784,-1.4151691373437643,0.365380859375,0.3416649546590634,-0.03281367749805213,0.01740627,0.0005,40,0.2
64,13.24361111,12288,190,6,15.47,0.7560991197824478,0.06453116983175278,-1.3665913002565504,0.23984375,0.23992700868984684,-0.018760835980356206,0.017762385,0.0005,50,0.2
64,13.248333370000003,14336,222,7,15.34,0.8594148308038712,0.06040037423372269,-1.3089383851736784,0.183349609375,0.143251234292984,-0.01011553752978216,0.014778441,0.0005,60,0.2
64,13.02722223,16384,254,8,15.13,0.8806336298584938,0.05221141129732132,-1.3329169936478138,0.24375,0.12419559607224073,-0.00712672693625791,0.016675413,0.0005,70,0.2
64,13.5427778,18432,287,9,15.62,0.8572392910718918,0.069783516228199,-1.2710312502458692,0.200048828125,0.1578853686398361,-0.009982106826646487,0.017878313,0.0005,80,0.2
64,13.577777790000004,20480,319,10,15.63,0.9137945920228958,0.056343644857406616,-1.200658488087356,0.23671875,0.09436509713705163,-0.004021212232692051,0.01736354,0.0005,90,0.2
