rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/entropy_loss,train/learning_rate,train/loss,train/approx_kl,train/n_updates,train/std,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range
769.0,74,17.313703,2048,1,27,,,,,,,,,,,
1013.0,73,13.447475666666667,4096,2,55,-1.3478011524304747,0.0005,-0.03494412824511528,0.018326607,10,0.8906818628311157,-0.09400558471679688,0.009589262945378253,-0.017415895136946347,0.08837890625,0.2
1208.2,73,16.71243,6144,3,84,-1.2639759216457604,0.0005,-0.02877083234488964,0.0065321308,20,0.832781970500946,0.7970040440559387,0.0010943132689624384,-0.01649580241064541,0.049951171875,0.2
1127.5,72,17.062830666666667,8192,4,112,-1.1989080090075732,0.0005,-0.024842288345098495,0.023072928,30,0.7686518430709839,0.7706514596939087,0.010433452608888505,-0.022991981812083395,0.07822265625,0.2
1220.875,72,22.470247375000003,10240,5,141,-1.100842621177435,0.0005,-0.03856588155031204,0.024055393,40,0.6876711249351501,0.8668435662984848,0.009045633117104757,-0.02171766046085395,0.090771484375,0.2
1252.0,72,24.06792955555556,12288,6,170,-0.9835185887292027,0.0005,-0.02849430777132511,0.027954232,50,0.6131927967071533,0.8926355242729187,0.005154706637344897,-0.019509097053378353,0.09873046875,0.2
1158.9166666666667,72,62.89893033333333,14336,7,198,-0.8951006308197975,0.0005,-0.03442180156707764,0.014920255,60,0.5739893317222595,0.9377154819667339,0.005406520525594249,-0.015341367943256046,0.07900390625,0.2
1185.2307692307693,72,65.6194833076923,16384,8,226,-0.8376394338905812,0.0005,-0.0270695798099041,0.046172,70,0.541655957698822,0.8448804765939713,0.10000186897959792,-0.03389074548940698,0.2361328125,0.2
941.2631578947369,72,75.99517105263159,18432,9,255,-0.7689872135408222,0.0005,-0.046840958297252655,0.024605963,80,0.4968011975288391,0.9466011077165604,0.005137029837824182,-0.019672494957831077,0.098046875,0.2
721.7142857142857,72,101.00570557142855,20480,10,283,-0.683674453292042,0.0005,-0.014903314411640167,0.053214263,90,0.46299007534980774,0.8379199802875519,0.11040465933037921,-0.03503962913964642,0.269287109375,0.2
