time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/approx_kl,train/explained_variance,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate,train/n_updates
44,2048,1,45,8.29232892,11.2,,,,,,,,,,
90,4096,2,45,11.48210204,15.38,0.252636719,0.2,0.015264018,0.022452831,-1.595366168,0.803239855,-0.023942978,0.300342858,0.0005,10
135,6144,3,45,11.4509876,15.41,0.273828125,0.2,0.015134114,0.190616071,-1.557843218,0.79723925,-0.021679292,0.223238647,0.0005,20
181,8192,4,45,15.81892313,21.5,0.252734375,0.2,0.014235385,0.220270336,-1.507542312,0.6983882,-0.020168851,0.112612218,0.0005,30
226,10240,5,45,17.31797502,23.35,0.223193359,0.2,0.011914719,0.155709207,-1.439136823,0.48305799,-0.014263743,0.154536888,0.0005,40
272,12288,6,45,16.6952174,22.41,0.175097656,0.2,0.010678675,0.243775547,-1.396461857,0.321655719,-0.010833964,0.091700092,0.0005,50
317,14336,7,45,17.50544381,23.19,0.195898438,0.2,0.014467708,0.277220547,-1.373893241,0.452951921,-0.011850992,0.213336855,0.0005,60
362,16384,8,45,19.07381515,25.48,0.242578125,0.2,0.021649469,0.172857642,-1.333323067,0.437706205,-0.011763755,0.51149261,0.0005,70
407,18432,9,45,17.2662841,22.65,0.276806641,0.2,0.038118944,0.246017694,-1.300567037,0.19096883,-0.014546314,0.074456826,0.0005,80
452,20480,10,45,18.63202622,24.19,0.255419922,0.2,0.024862496,0.152440786,-1.262926209,0.451265274,-0.011181771,0.446407408,0.0005,90
