time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/approx_kl,train/explained_variance,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate,train/n_updates
87,2048,1,23,1.4528227900000001,9.95,,,,,,,,,,
173,4096,2,23,2.671034819999999,9.07,0.390283203125,0.2,0.031359583,-0.03823411464691162,-1.073955932445824,2.6336949036456643,-0.03501448856986826,0.697505533695221,0.0005,10
256,6144,3,23,3.1158092500000003,7.87,0.34951171875,0.2,0.06337932,0.17264312505722046,-0.9615736541338264,3.162206266820431,-0.03140337090972025,1.0724247694015503,0.0005,20
341,8192,4,23,4.201917170000001,8.13,0.193017578125,0.2,0.017179264,0.2146732211112976,-0.8955473378300667,4.428424547426403,-0.01541370278573595,1.8992326259613037,0.0005,30
422,10240,5,24,4.06726784,7.46,0.22470703125,0.2,0.021888653,0.12962263822555542,-0.812191759981215,4.611736305803061,-0.01971959291622625,1.6847929954528809,0.0005,40
505,12288,6,24,4.19901755,7.61,0.109814453125,0.2,0.014403582,0.14594441652297974,-0.7564607372507453,4.751055465266108,-0.008990301621815888,2.354353666305542,0.0005,50
588,14336,7,24,3.51994507,7.18,0.17763671875,0.2,0.016321516,0.16391927003860474,-0.7577207327820361,4.574755335226655,-0.008595971495924459,2.0846269130706787,0.0005,60
671,16384,8,24,4.7860328700000005,7.89,0.14052734375,0.2,0.01709462,0.1390513777732849,-0.7106054676696658,4.825106450915337,-0.012874178600031882,3.3753902912139893,0.0005,70
754,18432,9,24,3.83022605,7.27,0.117578125,0.2,0.011696167,0.13470184803009033,-0.6849690551869572,4.767117391526699,-0.007559080990176881,1.8187497854232788,0.0005,80
838,20480,10,24,4.1573470100000005,7.7,0.142138671875,0.2,0.021917839,0.15333616733551025,-0.6963966749608517,4.5617197174578905,-0.01427779903206101,1.9306111335754395,0.0005,90
