time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/approx_kl,train/explained_variance,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate,train/n_updates
30,2048,1,67,6.89555556,7.99,,,,,,,,,,
61,4096,2,66,8.68888886,10.1,0.227148438,0.2,0.015278034,0.060841203,-1.593668307,0.380858932,-0.026089938,0.114473298,0.0005,10
93,6144,3,66,9.79749995,11.41,0.366650391,0.2,0.019488588,0.592585176,-1.541558132,0.489680725,-0.041824163,0.222586274,0.0005,20
125,8192,4,65,11.20805556,13.01,0.361767578,0.2,0.016644314,0.635050654,-1.466936794,0.411067554,-0.036241078,0.101208739,0.0005,30
157,10240,5,64,12.12138891,14.11,0.287841797,0.2,0.017685272,0.674732029,-1.397207912,0.35396563,-0.026123166,0.103355736,0.0005,40
189,12288,6,64,12.90250004,15.01,0.256933594,0.2,0.014480768,0.743309706,-1.339872002,0.292442584,-0.020697987,0.103229776,0.0005,50
220,14336,7,64,13.40555555,15.5,0.248925781,0.2,0.01806212,0.81173642,-1.28130665,0.201279116,-0.011415719,0.130565643,0.0005,60
251,16384,8,65,13.66694443,15.78,0.207519531,0.2,0.021567479,0.855505735,-1.275867485,0.15690157,-0.009611599,0.09220092,0.0005,70
284,18432,9,64,14.05333333,16.24,0.223193359,0.2,0.021440865,0.874338821,-1.228839806,0.141454504,-0.008006543,0.044618547,0.0005,80
315,20480,10,64,14.06444449,16.22,0.192919922,0.2,0.01628837,0.920952804,-1.179874535,0.087204062,-0.002760636,0.0338884,0.0005,90
