time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/approx_kl,train/explained_variance,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate,train/n_updates
53,2048,1,37,7.219583330000001,8.5,,,,,,,,,,
109,4096,2,37,8.782083300000002,9.94,0.2576171875,0.2,0.019072328,-0.17393064498901367,-1.5932881424203515,0.7748903926461935,-0.023523985538849955,0.19700823724269867,0.0005,10
164,6144,3,37,8.33666667,9.47,0.265087890625,0.2,0.018239029,0.24356955289840698,-1.5613949386402965,0.5891579050337896,-0.01824654808915511,0.2259090393781662,0.0005,20
218,8192,4,37,8.386250010000001,9.51,0.3060546875,0.2,0.022183731,0.12133818864822388,-1.5183227071538568,0.629461478732992,-0.016456893525173655,0.4914068281650543,0.0005,30
273,10240,5,37,8.600833299999998,9.82,0.275830078125,0.2,0.018900136,0.13148611783981323,-1.4721804305911064,0.6412007721373811,-0.013830481313925702,0.14982542395591736,0.0005,40
329,12288,6,37,8.921249999999997,10.06,0.284912109375,0.2,0.01726539,0.0932568907737732,-1.426495674625039,0.4864168162632268,-0.011471386092307512,0.1317155808210373,0.0005,50
384,14336,7,37,9.635000009999999,10.73,0.309228515625,0.2,0.01999733,0.13496196269989014,-1.3462697822600602,0.4046462847501971,-0.010406916564716085,0.13262847065925598,0.0005,60
438,16384,8,37,9.65625,10.74,0.31279296875,0.2,0.022509824,0.2314077615737915,-1.2709069279953837,0.2652378625673009,-0.012182284839218483,-0.0005026720464229584,0.0005,70
494,18432,9,37,9.12458335,10.15,0.252978515625,0.2,0.020088784,0.07427841424942017,-1.2839525969699026,0.3083676090405788,-0.010299162363298819,0.3279222249984741,0.0005,80
549,20480,10,37,9.17750002,10.24,0.228515625,0.2,0.018610701,0.12355482578277588,-1.1956679172813893,0.4983255868428387,-0.009984230246482184,0.10803095996379852,0.0005,90
