data_points training_accuracy simulation_reward test_accuracy
16 1.0 0.4444444444444455 0.7237
32 0.53125 0.7175644490761593 0.3135
64 0.5 0.4166666666666657 0.2285
128 0.4609375 0.7175644490761593 0.2288
256 0.44140625 0.609289390791687 0.1923
512 0.34375 0.5815116130139111 0.2354
1024 0.3369140625 0.5815116130139111 0.3093
2048 0.35546875 0.5815116130139111 0.332
4096 0.447265625 0.5815116130139111 0.3499
8192 0.4228515625 0.13184628430411488 0.3347
16384 0.39556884765625 0.888888888888891 0.3796
